Academic Support ID|Academic Support Service|Service Name|Department|Building|Location|Weekday|Start Time|End Time|Link
1|Student Accessibility Services|Exam Services||ACS 140|Arts and Computational Sciences|Monday-Friday|8:00 AM|5:00 PM|https://access.ucmerced.edu/student-resources
2|Student Accessibility Services|Note-Taking Services||ACS 140|Arts and Computational Sciences|Monday-Friday|8:00 AM|5:00 PM|https://access.ucmerced.edu/student-resources
3|Student Accessibility Services|Transportation Services||ACS 140|Arts and Computational Sciences|Monday-Friday|8:00 AM|5:00 PM|https://access.ucmerced.edu/student-resources
4|Student Accessibility Services|Parking and Campus Transportation Needs||ACS 140|Arts and Computational Sciences|Monday-Friday|8:00 AM|5:00 PM|https://access.ucmerced.edu/student-resources
5|Student Accessibility Services|Facilities Outages and Emergencies||ACS 140|Arts and Computational Sciences|Monday-Friday|8:00 AM|5:00 PM|https://access.ucmerced.edu/student-resources
6|Student Accessibility Services|Communication Access||ACS 140|Arts and Computational Sciences|Monday-Friday|8:00 AM|5:00 PM|https://access.ucmerced.edu/student-resources
7|Student Accessibility Services|Mobility Assistance||ACS 140|Arts and Computational Sciences|Monday-Friday|8:00 AM|5:00 PM|https://access.ucmerced.edu/student-resources
8|Student Accessibility Services|Proctoring Services||ACS 140|Arts and Computational Sciences|Monday-Friday|8:00 AM|5:00 PM|https://access.ucmerced.edu/student-resources
9|Student Accessibility Services|Transcription Services||ACS 140|Arts and Computational Sciences|Monday-Friday|8:00 AM|5:00 PM|https://access.ucmerced.edu/student-resources
10|Student Accessibility Services|Alternative Media Services||ACS 140|Arts and Computational Sciences|Monday-Friday|8:00 AM|5:00 PM|https://access.ucmerced.edu/student-resources
11|Student Accessibility Services|Pregnancy and Parenting||ACS 140|Arts and Computational Sciences|Monday-Friday|8:00 AM|5:00 PM|https://access.ucmerced.edu/student-resources
12|Student Accessibility Services|Housing Accommodations||ACS 140|Arts and Computational Sciences|Monday-Friday|8:00 AM|5:00 PM|https://access.ucmerced.edu/student-resources
13|Undocumented Student Services|Off-Campus Housing|Monarch Center|KL 127|Kolligian Library|Monday-Friday|9:00 AM|5:00 PM|https://undoc.ucmerced.edu/community-resources/campus-housing
14|Undocumented Student Services|Internship Opportunities|Monarch Center|KL 127|Kolligian Library|Monday-Friday|9:00 AM|5:00 PM|https://undoc.ucmerced.edu/academic-support/internship-opportunities
