Funding ID|Funding Type|Funding Name|Department|Building|Location|Weekday|Start Time|End Time|Link
1|Scholarships|Scholarship Universe|Office of Financial Aid and Scholarships|Administration Building|5200 N. Lake Road Merced, CA 95343|Monday, Tuesday, Wednesday, Thursday|9:00 AM|12:00 PM|https://financialaid.ucmerced.edu/UCM-Scholarship-Universe
2|Scholarships|Scholarship Universe|Office of Financial Aid and Scholarships|Administration Building|5200 N. Lake Road Merced, CA 95343|Monday, Tuesday, Wednesday, Thursday|1:00 PM|4:00 PM|https://financialaid.ucmerced.edu/UCM-Scholarship-Universe
3|Scholarships|UC Regents Scholarship|Office of Financial Aid and Scholarships|Administration Building|5200 N. Lake Road Merced, CA 95343|Monday, Tuesday, Wednesday, Thursday|9:00 AM|12:00 PM|https://financialaid.ucmerced.edu/UCM-Scholarship-Universe
4|Scholarships|UC Regents Scholarship|Office of Financial Aid and Scholarships|Administration Building|5200 N. Lake Road Merced, CA 95343|Monday, Tuesday, Wednesday, Thursday|1:00 PM|4:00 PM|https://financialaid.ucmerced.edu/UCM-Scholarship-Universe
5|Scholarships|Middle Class Scholarship|Office of Financial Aid and Scholarships|Administration Building|5200 N. Lake Road Merced, CA 95343|Monday, Tuesday, Wednesday, Thursday|9:00 AM|12:00 PM|https://financialaid.ucmerced.edu/types-aid/scholarships/middle-class-scholarship
6|Scholarships|Middle Class Scholarship|Office of Financial Aid and Scholarships|Administration Building|5200 N. Lake Road Merced, CA 95343|Monday, Tuesday, Wednesday, Thursday|1:00 PM|4:00 PM|https://financialaid.ucmerced.edu/types-aid/scholarships/middle-class-scholarship
7|Scholarships|Alan Pattee Scholarship Act|Office of Financial Aid and Scholarships|Administration Building|5200 N. Lake Road Merced, CA 95343|Monday, Tuesday, Wednesday, Thursday|9:00 AM|12:00 PM|https://financialaid.ucmerced.edu/alanpatteescholarship
8|Scholarships|Alan Pattee Scholarship Act|Office of Financial Aid and Scholarships|Administration Building|5200 N. Lake Road Merced, CA 95343|Monday, Tuesday, Wednesday, Thursday|1:00 PM|4:00 PM|https://financialaid.ucmerced.edu/alanpatteescholarship
9|Loans|Parent PLUS Loans|Office of Financial Aid and Scholarships|Administration Building|5200 N. Lake Road Merced, CA 95343|Monday, Tuesday, Wednesday, Thursday|9:00 AM|12:00 PM|https://financialaid.ucmerced.edu/ParentPLUS
10|Loans|Parent PLUS Loans|Office of Financial Aid and Scholarships|Administration Building|5200 N. Lake Road Merced, CA 95343|Monday, Tuesday, Wednesday, Thursday|1:00 PM|4:00 PM|https://financialaid.ucmerced.edu/ParentPLUS
11|Loans|Grad PLUS Loans|Office of Financial Aid and Scholarships|Administration Building|5200 N. Lake Road Merced, CA 95343|Monday, Tuesday, Wednesday, Thursday|9:00 AM|12:00 PM|https://financialaid.ucmerced.edu/GradPLUS
12|Loans|Grad PLUS Loans|Office of Financial Aid and Scholarships|Administration Building|5200 N. Lake Road Merced, CA 95343|Monday, Tuesday, Wednesday, Thursday|1:00 PM|4:00 PM|https://financialaid.ucmerced.edu/GradPLUS
13|Appeals|Academic Activity Appeal|Office of Financial Aid and Scholarships|Administration Building|5200 N. Lake Road Merced, CA 95343|Monday, Tuesday, Wednesday, Thursday|9:00 AM|12:00 PM|https://financialaid.ucmerced.edu/academic-activity#Appeal
