Health ID|Health Category|Service|Location|Weekday|Start Time|End Time|Link
1|Counseling & Psychological Services|Schedule Appointment|Student Health and Athletics Building, 2nd Floor|Monday-Friday|8:00 AM|4:30 PM|https://counseling.ucmerced.edu/about/appointments
2|Counseling & Psychological Services|Black Girl Doctor Wellness Coaching |Student Health and Athletics Building, 2nd Floor|Monday-Friday|8:00 AM|4:30 PM|https://counseling.ucmerced.edu/resources
3|Counseling & Psychological Services|Soluna Mental Health Coaching / Support (ages 14-25)|Student Health and Athletics Building, 2nd Floor|Monday-Friday|8:00 AM|4:30 PM|https://counseling.ucmerced.edu/resources
4|Counseling & Psychological Services|UC Berkeley Collegiate Recovery Program|Student Health and Athletics Building, 2nd Floor|Monday-Friday|8:00 AM|4:30 PM|https://counseling.ucmerced.edu/resources
5|Counseling & Psychological Services|The Haven at College |Student Health and Athletics Building, 2nd Floor|Monday-Friday|8:00 AM|4:30 PM|https://counseling.ucmerced.edu/resources
6|Counseling & Psychological Services|Alcoholics Anonymous|Student Health and Athletics Building, 2nd Floor|Monday-Friday|8:00 AM|4:30 PM|https://counseling.ucmerced.edu/resources
7|Counseling & Psychological Services|Alcoholic Rehab Guide|Student Health and Athletics Building, 2nd Floor|Monday-Friday|8:00 AM|4:30 PM|https://counseling.ucmerced.edu/resources
8|Counseling & Psychological Services|Food Addicts in Recovery Anonymous|Student Health and Athletics Building, 2nd Floor|Monday-Friday|8:00 AM|4:30 PM|https://counseling.ucmerced.edu/resources
9|Counseling & Psychological Services|Merced Drug Abuse Treatment Center|Student Health and Athletics Building, 2nd Floor|Monday-Friday|8:00 AM|4:30 PM|https://counseling.ucmerced.edu/resources
10|Counseling & Psychological Services|Narcotics Anonymous|Student Health and Athletics Building, 2nd Floor|Monday-Friday|8:00 AM|4:30 PM|https://counseling.ucmerced.edu/resources
11|Counseling & Psychological Services|National Alliance on Mental Illness|Student Health and Athletics Building, 2nd Floor|Monday-Friday|8:00 AM|4:30 PM|https://counseling.ucmerced.edu/resources
