Supply ID|Resource Type|Item|Department|Building|Location|Limit Info|Weekday|Start Time|End Time|Notes
1|Free Printing|Printing|Monarch Center|KL 127|Kolligian Library|3 pages only BW|Monday-Friday|9:00 AM|5:00 PM|
2|Food|Snack|Monarch Center|KL 127|Kolligian Library|1 snack or drink|Monday-Friday|9:00 AM|5:00 PM|
3|Food|Drink|Monarch Center|KL 127|Kolligian Library|1 snack or drink|Monday-Friday|9:00 AM|5:00 PM|
4|School Supplies|Scantrons|Monarch Center|KL 127|Kolligian Library|N/A|Monday-Friday|9:00 AM|5:00 PM|
5|School Supplies|Post-its|Monarch Center|KL 127|Kolligian Library|N/A|Monday-Friday|9:00 AM|5:00 PM|
6|School Supplies|Highlighters|Monarch Center|KL 127|Kolligian Library|N/A|Monday-Friday|9:00 AM|5:00 PM|
7|School Supplies|Erasers|Monarch Center|KL 127|Kolligian Library|N/A|Monday-Friday|9:00 AM|5:00 PM|
8|School Supplies|Pencil Bags|Monarch Center|KL 127|Kolligian Library|N/A|Monday-Friday|9:00 AM|5:00 PM|
9|School Supplies|Blue Books|Monarch Center|KL 127|Kolligian Library|N/A|Monday-Friday|9:00 AM|5:00 PM|
10|School Supplies|Rulers|Monarch Center|KL 127|Kolligian Library|N/A|Monday-Friday|9:00 AM|5:00 PM|
11|School Supplies|Staplers|Monarch Center|KL 127|Kolligian Library|N/A|Monday-Friday|9:00 AM|5:00 PM|
12|School Supplies|Pens|Monarch Center|KL 127|Kolligian Library|N/A|Monday-Friday|9:00 AM|5:00 PM|
13|School Supplies|Folders|Monarch Center|KL 127|Kolligian Library|N/A|Monday-Friday|9:00 AM|5:00 PM|
14|School Supplies|Paper Clips|Monarch Center|KL 127|Kolligian Library|N/A|Monday-Friday|9:00 AM|5:00 PM|
15|School Supplies|Color Paper|Monarch Center|KL 127|Kolligian Library|N/A|Monday-Friday|9:00 AM|5:00 PM|
16|School Supplies|Calculator|Monarch Center|KL 127|Kolligian Library|1|Monday-Friday|9:00 AM|5:00 PM|Borrow
17|Other Supplies|Condoms|Monarch Center|KL 127|Kolligian Library|2|Monday-Friday|9:00 AM|5:00 PM|
18|Other Supplies|Ear Plugs|Monarch Center|KL 127|Kolligian Library|2|Monday-Friday|9:00 AM|5:00 PM|
19|Hygeine|Tampons|Monarch Center|KL 127|Kolligian Library|2|Monday-Friday|9:00 AM|5:00 PM|
20|Hygeine|Pads|Monarch Center|KL 127|Kolligian Library|2|Monday-Friday|9:00 AM|5:00 PM|
21|Free Printing|Printing|Social Justice Center|KL 127|Kolligian Library|Up to 20 pages with color|Monday-Friday|9:00 AM|5:00 PM|
22|Food|Snack|Social Justice Center|KL 127|Kolligian Library|2|Monday-Friday|9:00 AM|5:00 PM|
23|Other Supplies|Professional Clothing|Basic Needs Center|||||||Need to make appointment
24|Other Supplies|Condoms|Basic Needs Center|||2||||
25|Other Supplies|Ear Plugs|Basic Needs Center|||2||||
26|Hygeine|Tampons|Basic Needs Center|||2||||
27|Hygeine|Pads|Basic Needs Center|||2||||
28|Food|Snack|Bobcat Pantry|TC 131|Terrace Center|1 small, 4 large||12:00 PM|5:30 PM|Need to make appointment
29|Food|Fruit|Bobcat Pantry|TC 131|Terrace Center|N/A||12:00 PM|5:30 PM|Need to make appointment
30|Food|Vegetable|Bobcat Pantry|TC 131|Terrace Center|N/A||12:00 PM|5:30 PM|Need to make appointment
31|Other Supplies|Condoms|Bobcat Pantry|TC 131|Terrace Center|2||12:00 PM|5:30 PM|Need to make appointment
32|Hygeine|Pads|Bobcat Pantry|TC 131|Terrace Center|2||12:00 PM|5:30 PM|Need to make appointment
33|Hygeine|Tampons|Bobcat Pantry|TC 131|Terrace Center|2||12:00 PM|5:30 PM|Need to make appointment
34|Hygeine |Soap|Bobcat Pantry|TC 131|Terrace Center|1||12:00 PM|5:30 PM|Need to make appointment
35|Hygeine |Toothbrush|Bobcat Pantry|TC 131|Terrace Center|1||12:00 PM|5:30 PM|Need to make appointment
36|Hygeine |Toothpaste|Bobcat Pantry|TC 131|Terrace Center|1||12:00 PM|5:30 PM|Need to make appointment
37|Hygeine |Deodorant|Bobcat Pantry|TC 131|Terrace Center|1||12:00 PM|5:30 PM|Need to make appointment
38|Food|Snack|Office of Student Involvement|Granite Pass 163|Granite||Monday-Friday|8:00 AM|5:00 PM|
39|School Supplies|CSET Books|ASUCM Office|Granite Pass 174|Granite||Monday-Friday|8:00 AM|5:00 PM|
40|School Supplies|LSAT Books|ASUCM Office|Granite Pass 174|Granite||Monday-Friday|8:00 AM|5:00 PM|
41|School Supplies|GRE Books|ASUCM Office|Granite Pass 174|Granite||Monday-Friday|8:00 AM|5:00 PM|
42|School Supplies|CBEST Books|ASUCM Office|Granite Pass 174|Granite||Monday-Friday|8:00 AM|5:00 PM|
43|School Supplies|Scantrons|ASUCM Office|Granite Pass 174|Granite||Monday-Friday|8:00 AM|5:00 PM|
44|School Supplies|Index Cards|ASUCM Office|Granite Pass 174|Granite||Monday-Friday|8:00 AM|5:00 PM|
45|School Supplies|Calculator|ASUCM Office|Granite Pass 174|Granite||Monday-Friday|8:00 AM|5:00 PM|
46|School Supplies|Portable Chargers|ASUCM Office|Granite Pass 174|Granite||Monday-Friday|8:00 AM|5:00 PM|
47|School Supplies|Stickers|ASUCM Office|Granite Pass 174|Granite||Monday-Friday|8:00 AM|5:00 PM|
48|Food|Snack|ASUCM Office|Granite Pass 174|Granite||Wednesday|10:00 AM|5:00 PM|
