Tutoring ID|Resource Type|Subject|Department|Building|Location|Weekday|Start Time|End Time|Notes
1|STEM Tutoring|BIO 11|STEM Center|SSB 340|Student Services Building||||Not offered this semester
2|STEM Tutoring|BIO 3|STEM Center|SSB 340|Student Services Building||||Not offered this semester
3|STEM Tutoring|BIO 5|STEM Center|SSB 340|Student Services Building||||Not offered this semester
4|STEM Tutoring|BIO 101|STEM Center|SSB 340|Student Services Building||||Not offered this semester
5|STEM Tutoring|BIO 110|STEM Center|SSB 340|Student Services Building||||Not offered this semester
6|STEM Tutoring|BIO 141|STEM Center|SSB 340|Student Services Building||||Not offered this semester
7|STEM Tutoring|BIO 150|STEM Center|SSB 340|Student Services Building||||Not offered this semester
8|STEM Tutoring|BIO 161|STEM Center|SSB 340|Student Services Building||||Not offered this semester
9|STEM Tutoring|CHEM 1|STEM Center|SSB 330|Student Services Building|Monday|10:00 AM|4:00 PM|
10|STEM Tutoring|CHEM 1|STEM Center|SSB 330|Student Services Building|Tuesday, Wednesday, Thursday|10:00 AM|5:00 PM|
11|STEM Tutoring|CHEM 2|STEM Center|SSB 330|Student Services Building|Monday|10:00 AM|4:00 PM|
12|STEM Tutoring|CHEM 2|STEM Center|SSB 330|Student Services Building|Tuesday, Wednesday, Thursday|10:00 AM|5:00 PM|
13|STEM Tutoring|CHEM 8|STEM Center|SSB 330|Student Services Building|Monday|10:00 AM|4:00 PM|
14|STEM Tutoring|CHEM 8|STEM Center|SSB 330|Student Services Building|Tuesday, Wednesday, Thursday|10:00 AM|5:00 PM|
15|STEM Tutoring|CHEM 10|STEM Center|SSB 330|Student Services Building|Monday|10:00 AM|4:00 PM|
16|STEM Tutoring|CHEM 10|STEM Center|SSB 330|Student Services Building|Tuesday, Wednesday, Thursday|10:00 AM|5:00 PM|
17|STEM Tutoring|CHEM 100|STEM Center|SSB 330|Student Services Building|Monday|10:00 AM|4:00 PM|
18|STEM Tutoring|CHEM 100|STEM Center|SSB 330|Student Services Building|Tuesday, Wednesday, Thursday|10:00 AM|5:00 PM|
19|STEM Tutoring|CSE 5|STEM Center|SSB 340|Student Services Building|Monday, Wednesday|10:00 AM|5:00 PM|
20|STEM Tutoring|CSE 5|STEM Center|SSB 340|Student Services Building|Tuesday|10:00 AM|1:00 PM|
21|STEM Tutoring|CSE 5|STEM Center|SSB 340|Student Services Building|Tuesday|3:00 PM|6:00 PM|
22|STEM Tutoring|CSE 5|STEM Center|SSB 340|Student Services Building|Thursday|10:00 AM|1:00 PM|
23|STEM Tutoring|CSE 5|STEM Center|SSB 340|Student Services Building|Thursday|3:00 PM|6:00 PM|
24|STEM Tutoring|CSE 19|STEM Center|SSB 340|Student Services Building|Monday, Wednesday|10:00 AM|5:00 PM|
25|STEM Tutoring|CSE 19|STEM Center|SSB 340|Student Services Building|Tuesday|10:00 AM|1:00 PM|
26|STEM Tutoring|CSE 19|STEM Center|SSB 340|Student Services Building|Tuesday|3:00 PM|6:00 PM|
27|STEM Tutoring|CSE 19|STEM Center|SSB 340|Student Services Building|Thursday|10:00 AM|1:00 PM|
28|STEM Tutoring|CSE 19|STEM Center|SSB 340|Student Services Building|Thursday|3:00 PM|6:00 PM|
29|STEM Tutoring|CSE 22|STEM Center|SSB 340|Student Services Building|Monday, Wednesday|10:00 AM|5:00 PM|
30|STEM Tutoring|CSE 22|STEM Center|SSB 340|Student Services Building|Tuesday|10:00 AM|1:00 PM|
