Name,Affiliation,Role,Building,Location,Link
Diana Hernandez Garcia,UROC,Coordinator,SSB 231,Student Service Building,http://outlook.office365.com/owa/calendar/UROCDianaHernandezGarcia@merced.onmicrosoft.com/bookings/
Aliyah McGuire,UROC,Coordinator,SSB 231,Student Service Building,http://outlook.office365.com/owa/calendar/UROCCoordinatorAliyahMcGuire@merced.onmicrosoft.com/bookings/
Hannah Escobar,UROC,Coordinator,SSB 216,Student Service Building,https://outlook.office365.com/book/UROCHannahEscobar@merced.onmicrosoft.com/?ismsaljsauthenabled=true
Horacio Aguilar,UROC,Outreach Advisor,SSB 216,Student Service Building,https://outlook.office.com/book/UROCHoracioAguilar1@merced.onmicrosoft.com/?ismsaljsauthenabled=true
Valerie Anderson,UROC,Associate Director,SSB 233,Student Service Building,https://outlook.office365.com/owa/calendar/UROCValerieAnderson@merced.onmicrosoft.com/bookings/
Patricia Soto,UROC,Director,SSB 223,Student Service Building,https://outlook.office.com/bookwithme/user/9c77ac53d1e44d28b70c7747cd963d13%40ucmerced.edu?anonymous&ismsaljsauthenabled=true
,,,,,
Phung Colvin,"Aero, ME",Advisor,SE2 315,School of Engineering 2,https://engr-advising.ucmerced.edu/see-my-advisor/walk-ins
Karla Gonzalez,BioE,Advisor,SE2 315,School of Engineering 2,https://engr-advising.ucmerced.edu/see-my-advisor/walk-ins
Pa Vang,"CE, EnvE, ME",Advisor,SE2 315,School of Engineering 2,https://engr-advising.ucmerced.edu/see-my-advisor/walk-ins
Ashley Guiterrez,"CSE, BioE",Advisor,SE2 315,School of Engineering 2,https://engr-advising.ucmerced.edu/see-my-advisor/walk-ins
Christina Mayo,"EE, UENGR, CSE",Advisor,SE2 315,School of Engineering 2,https://engr-advising.ucmerced.edu/see-my-advisor/walk-ins
Chi Yang ,"MIST, DSA, ChE,  MSE, CSE",Advisor,SE2 315,School of Engineering 2,https://engr-advising.ucmerced.edu/see-my-advisor/walk-ins
,,,,,
Erica Robbins,"Advises Natural Sciences Transfer Students for all majors: BIO, BCHM, CHEM, DSC, EECB, ESS, MATH and PHYS",Director of Student Services,SE1 270,School of Engineering 1,https://ns-advising.ucmerced.edu/meet-your-advisor/advisor-walk-ins
Jenn Souza,"Advises non-first year students in Applied Mathematics, Chemistry, Data Sciences & Computing, Environmental Systems Science (admitted prior to Fall 2024), Physics, and Undeclared Natural Sciences
Advises the minors in Applied Mathematics, Chemistry, Data Sciences & Computing, and Physics",Undergraduate Academic Advisor,SE1 270,School of Engineering 1,https://ns-advising.ucmerced.edu/meet-your-advisor/advisor-walk-ins
Chelsea Flannery,"Advises non-first year/non-transfer students last names A-G for Biological Sciences, Evolution Ecology & Conservation Biology and Environmental Systems Science (admitted since Fall 2024)",Undergraduate Academic Advisor & Career Support Coordinator,SE1 270,School of Engineering 1,https://ns-advising.ucmerced.edu/meet-your-advisor/advisor-walk-ins
Cynthia Granados,"Advises non-first year/non-transfer students last names H-O for Biological Sciences, Evolution Ecology & Conservation Biology and Environmental Systems Science (admitted since Fall 2024)",Undergraduate Academic Advisor & Student Transition Coordinator,SE1 270,School of Engineering 1,https://ns-advising.ucmerced.edu/meet-your-advisor/advisor-walk-ins
Maricela Melendrez,"Advises non-first year/non-transfer students last names P-Z for Biological Sciences, Evolution Ecology & Conservation Biology and Environmental Systems Science (admitted since Fall 2024)",Undergraduate Academic Advisor,SE1 270,School of Engineering 1,https://ns-advising.ucmerced.edu/meet-your-advisor/advisor-walk-ins
,,,,,
Faustino Aguilar,"Temporarily advises non-first year, non-transfer students in Economics, Management and Business Economics",Advisor,COB1 204,Classroom and Office Building 1,https://ssha-advising.ucmerced.edu/meet-your-advisor/walk-in-hours
Linda Safer,Advises all SSHA transfer students.,Advisor,COB1 204,Classroom and Office Building 1,https://ssha-advising.ucmerced.edu/meet-your-advisor/walk-in-hours
Valeria Salcedo Lomeli,"Advises non-first year, non-transfer students in Psychology.",Advisor,COB1 204,Classroom and Office Building 1,https://ssha-advising.ucmerced.edu/meet-your-advisor/walk-in-hours
Carolyn Barranco,"Advises non-first year, non-transfer students in English, Public Health, Spanish, American Studies, and Chicano/a Studies. ",Advisor,COB1 204,Classroom and Office Building 1,https://ssha-advising.ucmerced.edu/meet-your-advisor/walk-in-hours
Elizabeth Whitmyre,"Advises non-first year, non-transfer students in Cognitive Science and Undeclared SSHA.
Advises all Degree Completion Program Students last names M-Z
Secondary Academic Advisor for all continuing, non-transfer students in Psychology
Temporarily advises non-first year, non-transfer students in Anthropology, Community Research and Service, Geospatial Technology, and World Heritage.
Temporarily advises Degree Completion Program Students last names A-L",Advisor,COB1 204,Classroom and Office Building 1,https://ssha-advising.ucmerced.edu/meet-your-advisor/walk-in-hours
Lauren Brackett,"Advises non-first year, non-transfer students in Critical Race and Ethnic Studies, Global Arts Studies, History, Philosophy, and Writing Studies.
Temporarily advises non-first year, non-transfer students in Political Science & Sociology.",Advisor,COB1 204,Classroom and Office Building 1,https://ssha-advising.ucmerced.edu/meet-your-advisor/walk-in-hours
